datetime,open,high,low,close,volume
"12,07,23 12:19",30730.95,30730.96,30722,30729.74,48.44269
"12,07,23 12:04",30763.39,30763.4,30756.11,30756.12,7.4561
"12,07,23 11:49",30720.31,30720.31,30720,30720,5.67446
"12,07,23 11:34",30740,30740,30731.86,30731.86,44.05901
"12,07,23 11:19",30697.4,30700,30697.4,30699.99,9.83929
"12,07,23 11:04",30668.67,30668.67,30668.66,30668.67,8.68832
"12,07,23 10:49",30671.86,30681.49,30671.85,30681.49,21.94584
"12,07,23 10:34",30688.35,30692,30688.35,30691.99,14.70737
"12,07,23 10:19",30698.48,30698.48,30698.47,30698.47,3.42174
"12,07,23 10:04",30712.89,30712.9,30712.89,30712.89,2.89361
"12,07,23 09:49",30731,30731,30730.99,30730.99,6.47398
"12,07,23 09:34",30700,30700.01,30700,30700,5.16959
"12,07,23 09:19",30716.01,30716.02,30708.86,30708.87,7.34051
"12,07,23 09:04",30752.33,30758,30751.81,30758,31.98896
"12,07,23 08:49",30704.96,30705.44,30704.95,30705.43,6.03127
"12,07,23 08:34",30712.01,30712.01,30701.72,30701.72,7.65699
"12,07,23 08:19",30734.48,30734.48,30729.31,30729.32,14.10466
"12,07,23 08:04",30738,30740,30726.79,30740,19.17251
"12,07,23 07:49",30821.24,30821.25,30812.79,30814,14.81254
"12,07,23 07:34",30840,30840.01,30816.92,30817.06,36.267
"12,07,23 07:19",30747.99,30758.3,30747.99,30755.87,23.76303
"12,07,23 07:04",30760,30763.26,30758.21,30758.21,8.82859
"12,07,23 06:49",30728,30728,30708.88,30709,18.77116
"12,07,23 06:34",30711.21,30714,30700.53,30701.73,11.97804
"12,07,23 06:19",30637.94,30637.94,30621.86,30629.76,19.44066
"12,07,23 06:04",30670.38,30670.39,30666.01,30666.01,9.94167
"12,07,23 05:49",30662.31,30666,30662.3,30665.99,5.29948
"12,07,23 05:34",30613.79,30613.8,30613.79,30613.79,2.68433
"12,07,23 05:19",30643.09,30645,30643.08,30645,8.0734
"12,07,23 05:04",30630.66,30630.67,30630.66,30630.67,5.99608
"12,07,23 04:49",30619.07,30619.08,30619.07,30619.08,2.6773
"12,07,23 04:34",30607.05,30607.06,30607.05,30607.06,4.98827
"12,07,23 04:19",30579.41,30593.58,30579.41,30593.15,18.04667
"12,07,23 04:04",30594.13,30594.14,30581.48,30581.49,13.71603
"12,07,23 03:49",30592.16,30592.16,30592.15,30592.15,6.3167
"12,07,23 03:34",30619.04,30619.04,30619.03,30619.03,4.26778
"12,07,23 03:19",30579,30583.73,30578.99,30583.72,29.46913
"12,07,23 03:04",30595.65,30595.66,30592.71,30592.72,6.10999
"12,07,23 02:49",30654.02,30654.02,30642.9,30644,17.20781
"12,07,23 02:34",30613.99,30615.99,30607.64,30614.89,16.58581
"12,07,23 02:19",30549.32,30549.33,30549.32,30549.32,3.15983
"12,07,23 02:04",30538.01,30538.01,30538,30538.01,5.78181
"12,07,23 01:49",30552.09,30554.54,30546.26,30546.27,9.03972
"12,07,23 01:34",30502.82,30502.83,30500,30500,13.45827
"12,07,23 01:19",30522.07,30534,30520.34,30534,18.32037
"12,07,23 01:04",30525.68,30525.69,30521.26,30521.26,11.05553
"12,07,23 00:49",30557.25,30557.25,30553,30553.01,11.55165
"12,07,23 00:34",30565.25,30565.25,30560.79,30560.8,14.37548
"12,07,23 00:19",30582.9,30582.9,30566.68,30566.68,15.59576
"12,07,23 00:04",30618,30618.01,30612.9,30612.9,1.66731
"11,07,23 23:49",30604.01,30604.01,30604,30604.01,1.18219
"11,07,23 23:34",30605.11,30605.11,30605.1,30605.11,1.18684
"11,07,23 23:19",30633,30639,30617.95,30617.96,30.04905
"11,07,23 23:04",30611.22,30611.23,30604.89,30604.9,19.79052
"11,07,23 22:49",30550,30550,30546,30550,13.70298
"11,07,23 22:34",30529.06,30534.89,30529.05,30534.89,13.5152
"11,07,23 22:19",30539,30552.89,30539,30552.88,11.31458
"11,07,23 22:04",30572,30574.54,30572,30574.54,4.89311
